Ngram,Count
this song,53
lagu ini,31
this is,26
weird genius,20
song is,16
keren banget,15
iso mlayu,15
this song is,14
ra iso,14
ra iso mlayu,14
from the,14
ajining diri,13
ing lathi,12
kowe ra,12
kowe ra iso,12
the first,12
this music,11
this kind of,11
this kind,11
kind of,11
mlayu saka,11
yang dislike,11
iso mlayu saka,11
kesalahan ajining,11
go internasional,11
wanted this,10
kesalahan ajining diri,10
cold and,10
never wanted this,10
kind of pain,10
like this,10
and heartless,10
wanted this kind,10
should know,10
so cold,10
never wanted,10
cold and heartless,10
of pain,10
the best,10
so cold and,10
from the first,9
for reason,9
happened for,9
has changed,9
happened for reason,9
you should know,9
you should,9
something we,9
myself so,9
of the,9
myself so cold,9
all happened,9
all happened for,9
the first stage,9
down from the,9
diri ana,9
ajining diri ana,9
it all,9
ini lagu,9
it all happened,9
it isnt,9
but one,9
everything has,9
first stage,9
everything has changed,9
down from,9
stage it,8
thing you should,8
thing you,8
one thing you,8
and heartless but,8
one thing,8
stage it isnt,8
reason down from,8
reason down,8
and all,8
an indonesian,8
has changed it,8
for never,8
for never wanted,8
heartless but,8
something we fought,8
we fought,8
but one thing,8
we fought for,8
for reason down,8
heartless but one,8
turned myself so,8
changed it all,8
changed it,8
turned myself,8
first stage it,8
fought for,8
saka kesalahan,7
song and,7
pain turned,7
pain turned myself,7
it isnt something,7
fought for never,7
isnt something we,7
udah tahun,7
ada yang,7
bagus banget,7
isnt something,7
the song,7
mlayu saka kesalahan,7
of pain turned,7
toxic relationship,6
heard this,6
indonesian culture,6
is masterpiece,6
it was,6
sebagus ini,6
yang masih,6
ana ing,6
saka kesalahan ajining,6
ono ing,6
ana ing lathi,6
the music,6
im from,6
diri ana ing,6
all of the,5
and all know,5
the countless,5
the countless pain,5
so much,5
bangga banget,5
soko kesalahan,5
all the,5
seeing all,5
all the rules,5
rasa sakit,5
song from,5
all know that,5
all know,5
on tiktok,5
go international,5
heard this song,5
to be,5
tidak ada,5
through the countless,5
edm gamelan,5
was born,5
countless pain,5
tidak bisa,5
through the,5
from indonesia,5
