Author,Comment,Clean_Comment
@violettewautier,️,
@diazavriza406,"Edm = udah keren banget
Gamelan = lebih dari kata keren

Edm + Gamelan = auto Kesurupan Njir",edm udah keren banget gamelan lebih dari kata keren edm gamelan auto kesurupan njir
@777_chanel,"Sinden : mas pengen nyinden tapi karo party
WG : yoo gass",sinden mas pengen nyinden tapi karo party wg yoo gass
@NanyaElite,"Anyone here in July, 2025?",anyone here in july
@milaamylia2039,Sept. 2025... Anyone?,sept anyone
@chlaur3072,"If you guys ever collabed with stray kids that would be INSANEEEE, like the music styles fit sooo well",if you guys ever collabed with stray kids that would be insaneeee like the music styles fit sooo well
@clarity5703,"It was a hit last year, glad Chan bring me back to this song",it was a hit last year glad chan bring me back to this song
@amalia3710,"It’s my first time hearing this song on Chan’s live, thank you Channie, i already love this song so much",its my first time hearing this song on chans live thank you channie i already love this song so much
@bigmovie4584,Yang dengerin di th 2025 hadir,yang dengerin di th hadir
@divogalindra9821,"The first time I heard this song on Tiktok I thought it was a western song combined with Indonesia’s traditional instrument but damn I was wrong! Found out its Indonesian artist, epic!",the first time i heard this song on tiktok i thought it was a western song combined with indonesias traditional instrument but damn i was wrong found out its indonesian artist epic
@penikmatmusik3259,"Wajarlah lagu ini mendunia karna lirikny kren bnget bhsa inggris dan jawa..
Di tambah musikny mewah dan megah..",wajarlah lagu ini mendunia karna lirikny kren bnget bhsa inggris dan jawa di tambah musikny mewah dan megah
@jipansan8935,"""Mas aku kepingin nyinden, tapi yo karo dugem""
WG:yo.",mas aku kepingin nyinden tapi yo karo dugem wgyo
@serawajahjeleksera6082,"Mampir ke sini bln september 2025
Sumpah lagunya keren bgttttttt",mampir ke sini bln september sumpah lagunya keren bgttttttt
@aseprahmansetiadi6532,"Omg there have a lot indonesian culture


Agnez mo: left the chat with left diamond",omg there have a lot indonesian culture agnez mo left the chat with left diamond
@tomviva12,"God damn, merinding anj...


This was dope!!!",god damn merinding anj this was dope
@009chavansujatas5,I'm here after listening this on Chan's room todayy!! This song is MASTERPIECE!♡,im here after listening this on chans room todayy this song is masterpiece
@umdafulkhorioficial,"2025 september , inget covid ternyata bisa berjuang sampe sejauh ini , alhamdulilah",september inget covid ternyata bisa berjuang sampe sejauh ini alhamdulilah
@kinasa5679,01:12 HOLY S*** OUT OF THIS WORLD,holy s out of this world
@jemiafriwan4100,"Sara fajira: Mas aku pengen nyinden. Tapi seng karo dugeman, gledek e ojo lali mas
Weird genius: Yo!",sara fajira mas aku pengen nyinden tapi seng karo dugeman gledek e ojo lali mas weird genius yo
@ayya_twv9983,"Kesini lagi setelah reaction bang chan yang dimana, dia pertama kali nge react sampe di setel sampe akhir dan di ulang. Jujur dr awal ini lagu muncul emang the best sih lagunya, apalagi di campurkan dengan musik tradisional. Aku berharap kawan2 Weird Genius membuat music semacam ini lagi.",kesini lagi setelah reaction bang chan yang dimana dia pertama kali nge react sampe di setel sampe akhir dan di ulang jujur dr awal ini lagu muncul emang the best sih lagunya apalagi di campurkan dengan musik tradisional aku berharap kawan weird genius membuat music semacam ini lagi
@Hanggar-tp5wv,"dan yap, 5 tahun berlalu....",dan yap tahun berlalu
@oyonkhab5792,"Go #TRENDING !!!!
Proccess 20M viewers go go #LATHI INDONESIA POWER !!! YOU CAN DO IT",go trending proccess m viewers go go lathi indonesia power you can do it
@rizkiandini2200,"heard this song from tiktok, i thought it was a song from westerners and fan from Indonesia mixed that song. ternyata wow saya merinding ternyata it actually MADE FROM INDONESIA",heard this song from tiktok i thought it was a song from westerners and fan from indonesia mixed that song ternyata wow saya merinding ternyata it actually made from indonesia
@sakina5052,INDONESIAN DJ IS ON ANOTHER LEVEL RIGHT NOW OMG  I LIKE THIS SONG SM,indonesian dj is on another level right now omg i like this song sama
@rikadamayanti7735,Haven't see in few month and Wauuuw 158 already?,havent see in few month and wauuuw already
@alexanderluka4258,"As an indonesian i am trully proud
This song is completely epic",as an indonesian i am trully proud this song is completely epic
@andrywbw2362,Absen yang hadir di 2024 siapa aja nih,absen yang hadir di siapa saja nih
