Author,Comment
@violettewautier,️
@diazavriza406,"Edm = udah keren banget
Gamelan = lebih dari kata keren

Edm + Gamelan = auto Kesurupan Njir"
@777_chanel,"Sinden : mas pengen nyinden tapi karo party
WG : yoo gass"
@NanyaElite,"Anyone here in July, 2025?"
@milaamylia2039,Sept. 2025... Anyone?
@chlaur3072,"If you guys ever collabed with stray kids that would be INSANEEEE, like the music styles fit sooo well"
@clarity5703,"It was a hit last year, glad Chan bring me back to this song"
@amalia3710,"It’s my first time hearing this song on Chan’s live, thank you Channie, i already love this song so much"
@bigmovie4584,Yang dengerin di th 2025 hadir
@divogalindra9821,"The first time I heard this song on Tiktok I thought it was a western song combined with Indonesia’s traditional instrument but damn I was wrong! Found out its Indonesian artist, epic!"
@penikmatmusik3259,"Wajarlah lagu ini mendunia karna lirikny kren bnget bhsa inggris dan jawa..
Di tambah musikny mewah dan megah.."
@jipansan8935,"""Mas aku kepingin nyinden, tapi yo karo dugem""
WG:yo."
@serawajahjeleksera6082,"Mampir ke sini bln september 2025
Sumpah lagunya keren bgttttttt"
@aseprahmansetiadi6532,"Omg there have a lot indonesian culture


Agnez mo: left the chat with left diamond"
@tomviva12,"God damn, merinding anj...


This was dope!!!"
@009chavansujatas5,I'm here after listening this on Chan's room todayy!! This song is MASTERPIECE!♡
@umdafulkhorioficial,"2025 september , inget covid ternyata bisa berjuang sampe sejauh ini , alhamdulilah"
@kinasa5679,01:12 HOLY S*** OUT OF THIS WORLD
@jemiafriwan4100,"Sara fajira: Mas aku pengen nyinden. Tapi seng karo dugeman, gledek e ojo lali mas
Weird genius: Yo!"
@ayya_twv9983,"Kesini lagi setelah reaction bang chan yang dimana, dia pertama kali nge react sampe di setel sampe akhir dan di ulang. Jujur dr awal ini lagu muncul emang the best sih lagunya, apalagi di campurkan dengan musik tradisional. Aku berharap kawan2 Weird Genius membuat music semacam ini lagi."
@Hanggar-tp5wv,"dan yap, 5 tahun berlalu...."
@oyonkhab5792,"Go #TRENDING !!!!
Proccess 20M viewers go go #LATHI INDONESIA POWER !!! YOU CAN DO IT"
@rizkiandini2200,"heard this song from tiktok, i thought it was a song from westerners and fan from Indonesia mixed that song. ternyata wow saya merinding ternyata it actually MADE FROM INDONESIA"
@sakina5052,INDONESIAN DJ IS ON ANOTHER LEVEL RIGHT NOW OMG  I LIKE THIS SONG SM
@rikadamayanti7735,Haven't see in few month and Wauuuw 158 already?
@alexanderluka4258,"As an indonesian i am trully proud
This song is completely epic"
@andrywbw2362,Absen yang hadir di 2024 siapa aja nih
@idkholussurur1749,Eh anjirr SUMPAH DEMI ALLAH Keren Banget dah.. Biasanya di TikTok Cuman Tauku sepenggalan aja Yg Bagian arasnsemen jawa.. ini Kali pertama Tau Versi full Nya
@ferryirfan7121,Gila udah 4 tahun? Tapi tetep bagus banget
@mousselmistelfeld4683,"Me: this music is very good
Me: looking for English comments

Me thinking rn: Indonesian people certainly know how to appreciate their art, 90% comments are Indonesian"
@ryanmoch9163,This is culture remix
@daffarizky4960,"Friend"" How many times you have been watching this?""

Me: ""Not Enough."""
@ArdiPradita,udah 5 tahun ga kerasa
@---lv3nv,"UDAH GO INTERNASIONAL KAK?
ALLOHUMMASALLIIALAASAIDINAAMUHAMMAD"
@ozgirl7701,"it's really good!!! The vocals, the instrumentals, the song's production was really awesome.. Glad to have heard it first on Chan's room"
@PHX-Bømb,"Wayang ""Image of dominance control in toxic relationship/ Someone who controls others dominantly""
Glass eater ""Embrace your soul to resist and fight the lies or painful words""
Evil enchantress ""the darkest side that emerges from someone after getting hurts'
Kuda lumping ""an illustration of resistance""
Traditional dance ""Ilustrates the beautiful and harmonious side of the relationships, sometimes it also describes the feelings of the people involved""
Flamethrower guy ""illustrates a fiery desire to do things""
Fire eater ""symbol of courage to take all of the pains""

It's my opinion, what is yours ?"
@ElisNingsih-um6ni,lagu ini tentang seseorang yang berambisi untuk sukses megapai cita2 krn hinaan cacian dan direndahkan mbuatnya bangkit dan ingin membuktikan bahwa dia akan berhasil
@enigmxxa,"omg this is such a dope! wish i had found you sooner. thanking Bang Chan for bringing many of us to you, your music. love from Australia"
@barbuemordez9099,"Wow no sabía que esto tenía video... Me encanta el puente ... Cada vez mas me gusta la música edm, gracias a bangchan y a STAY por ampliar mi gusto musical."
@baguskecil7808,"""koe Ra ISO mlayu Soko kesalahan ajineng diri Ono ing lathi "" 

Coh ngeri lurr ,.... Keren dap pokok e"
@vladimirjimmy3969,OCT 2025
@xii.ips.2.06fajardwiyanto3,Music ini yang sudah menyebar di Tiktok dengan versi transisi semua transitioner telat membuat dengan lagu ini termasuk aku juga.SEMANGAT!!!
@zeshbastila0510,"really"" merinding pas part ""kowe ra iso mlayu"" gila2, truely weird and so genius for making a song, and i cant wait for next new song!! much love for this one!!!"
@pejuangmalam5681,"0%      bad word
0%      nudity
5%      traditional
5%      international

100% talent
100% laga kolosal"
@arysidabutar,2025 masi dengar ini ngumpul
@Alexa-dq4wz,Chan se veía muy feliz y debo decir que la canción es genial así que gracias por la gran recomendación Stay!!
@rahmanjunior4851,"Sinden : aku pengen nyinden,tapi karo dugem

WG : ?? TROBOSS AJALAH ANJGG"
@morningdew5328,"a beautiful human who trapped in toxic relationship 

WOW"
@esBatu-v6w,Perasaan ini lagu baru kemarin  tulis ternyata usah 5tahun yang lalu aja ternyata waktu begitu cepat
@leuynn,"Everyone : DOPE!!
TikTok : Hippity Hoppty This Is Now My Property"
@staychaa,"lokal rasa luar

harus go internasional sihh"
@alexandradevi5901,"Kowe Ra iso mlayu Saka kesalahan. Ajining diri Ono neng Lathi.

Jancuk! Bangga tenan aku dadi wong jowo krungu lagu Iki"
@kaitokid1630,August 2025 ?
@talentasigiro1027,GOES TO 1MILLION LIKESSSSSS
@JichuFanss,"Now, its 2024. Masih terngiang2 sama ni lagu kadang, bangga banget cuy indonesia punya lagu sebagus ini"
@muhrezay,"This is masterpiece dude
As a Javanese i'm so grateful to see this
Next level of weird genius"
@MukWongDeso,"Uda denger lagu ini sejak jaman hits dulu, ini dengerin lagi pakai TWS, baru sadar lagu ini masterpiece beneran"
@haihola1458,"GILA KEREN BANGET, JARANG MUSIK INDO SE UWOW GINI dan SEPECAHHH INI

#CINTABUDAYAINDONESIA
#AYOVIRALKAN"
@nicoleurtal7028,I'm from Philippines at first I heard this song on tiktok I was so shock like this song is nice so I search it in yt and yeah I was so shock on the mv so fucking niceeeeee I love it
@adristinka,"seriously, this song deserves more viewers omg! CAUSE THIS SONG IS MASTERPIECE.  PERIODT."
@putrinuramalia8464,lagu ini mengingatkan ketika sedang lockdown masa masa covid ..
@chefjahat3765,"This is what i call 3 in 1. 
ART
CULTURE
MUSIC."
@badex2110,"epic song exist

TikTok : ""it's free real estate"""
@Hlsakti,"As an Indonesian, I am very proud of this song. Combining EDM culture with thick Javanese elements makes listeners shudder (even though I'm Sundanese). Congratulations weird genius, you vibrate the world of Indonesian music!
We are all waiting for your works with other local cultural combinations"
@anindiaputrihardini8109,cung yang masih suka bolak balik tiap tahun?
@laluluhurariestawijaya5550,"Suicide Squad : We have the best witch (Enchantress).
Weird Genius : Hold my beer.

This is Indonesian next level Enchantress yo."
@bloodylilyy1846,Not just a name. You're literally a weired genius.
@daristaufik9700,Produk Asli INDONESIA yg dulu sempat Mendunia lagu ini
@aidahrestiaprilia1373,it's a cool blending of Java culture and Western
@haninabilah4614,Srsly this song need to go further the way she kept Indonesian culture amazed me. Dope asf I would literally suggest this to my Malaysian friends. Love fr Malaysia️
@yutakalatifah1039,tahu lagu keren ini malah dari anak 9th alias anaku...kaget selera dia keren jg dan makna lagu ini luar biasa dng perpaduan musik yang amazing. Teruslah berkarya...gas
@restearubyz,I'm here because it's chan's room and wow it's so good that I play it over and over again the song still gives me goosebumps
@defriosaka1651,"Editor: So how many thunders do you want?
Weird Genius: Yes"
@lutfiyara5188,"Mbak sinden : pengen party karo nyinden
WG : nyoh"
@zakirComment,Ex Limkokwing student from bangladesh 🇧🇩
@yeebee2016,"""Sara Fajira goes famous""


88Rising : we'll take her thanks"
@aidenray2458,"Anjir efek pas darkside nya itu loh astagah, udah make up ala Ahmanet, aura hitam kayak kemunculan Enchantress, lightning rage Mode nya Thor.  Gila suka bngt"
@jasslyndrw1009,"this song is really amazing and i'm also proud to be an indonesian stay, thank you chan and stays"
@showUtheW4Y,Suatu hari dimana covid dimana mana belajar dirumah cuma scroll tiktok seharian
@mursalinashari7387,Asli Keren...merinding gue seriusan... pas sara fajira jatoh merinding gua gk abis2....seriusan suka pake banget banget...next level indonesian music bgt ini...
@tortugastore6004,"EDM = dancing
GAMELAN = also dancing
EDM X GAMELAN = the CONJURING 4"
@yheefira,Gak kerasa udah 2023 lagu ini masih  terngiang di kepala.. Bangga banget setelah tau ini lagu Indonesia.. respect kepada tim weird jenius
